CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
J66,108,,Diseases of the airways due to specific organic dust,J66   Doenc das vias aereas dev poeiras org espec,J66 Thyroid Disease of the airways dev org dust spec,,Doen̤as das vias a̩reas devida a poeiras org̢nicas espec�_ficas,
J67,108,,Hypersensitivity pneumonitis due to organic dust,J67   Pneumonite hipersensibilid dev poeiras org,J67 pneumonitis hipersensibilid dev dust org,,Pneumonite de hipersensibilidade devida a poeiras org̢nicas,
J68,108,,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",J68   Afecc resp dev inal prod quim gas fumac vap,J68 AFECC resp dev inal prod chem gas FUMAC Steam,,"Afec̵̤es respirat�_rias devidas a inala̤̣o de produtos qu�_micos, gases, fuma̤as e vapores",
J69,108,,Pneumonitis due to solids and liquids,J69   Pneumonite dev solidos e liquidos,J69 pneumonitis dev solids and liquids,,Pneumonite devida a s�_lidos e l�_quidos,
J70,108,,Respiratory conditions due to other external agents,J70   Afeccoes respirat dev outr agentes externos,J70 Respiratory disorders dev othe outsiders,,Afec̵̤es respirat�_rias devida a outros agentes externos,
J80,109,,"Syndrome, adult respiratory distress",J80   Sindr do desconforto respirat do adulto,J80 Sindr of Adult Respiratory discomfort,,S�_ndrome do desconforto respirat�_rio do adulto,
J81,109,,"Pulmonary edema, not otherwise specified",J81   Edema pulmonar NE de outr form,J81 Pulmonary edema NE othe form,,"Edema pulmonar, ṇo especificado de outra forma",
J82,109,,"Pulmonary eosinophilia, not elsewhere classified",J82   Eosinofilia pulmonar NCOP,J82 pulmonary eosinophilia NEC,,"Eosinofilia pulmonar, ṇo classificada em outra parte",
J84,109,,Other interstitial lung diseases,J84   Outr doenc pulmonares intersticiais,J84 othe Thyroid Disease interstitial lung,,Outras doen̤as pulmonares intersticiais,
J85,110,,Abscess of lung and mediastinal,J85   Abscesso do pulmao e do mediastino,J85 Abscess of lung and mediastinal,,Abscesso do pulṃo e do mediastino,
J86,110,,Pyothorax,J86   Piotorax,J86 pyothorax,,Piot�_rax,
J90,111,,"Pleural effusion, not elsewhere classified",J90   Derrame pleural NCOP,J90 ��܉��Pleural effusion NEC,,Derrame pleural ṇo classificado em outra parte,
J91,111,*,Pleural effusion in conditions classified elsewhere,J91   Derrame pleural em afeccoes COP,J91 Pleural effusion in conditions COP,,Derrame pleural em afec̵̤es classificadas em outra parte,
J92,111,,Pleural plaques,J92   Placas pleurais,J92 boards pleural,,Placas pleurais,
J93,111,,Pneumothorax,J93   Pneumotorax,J93 Pneumothorax,,Pneumot�_rax,
J94,111,,Other pleural conditions,J94   Outr afeccoes pleurais,J94 othe pleural disorders,,Outras afec̵̤es pleurais,
J95,112,,Postprocedural respiratory disorders not elsewhere classified,J95   Afeccoes respirat pos-proced NCOP,J95 Respiratory disorders post-proced NEC,,Afec̵̤es respirat�_rias p�_s-procedimentos ṇo classificadas em outra parte,
J96,112,,Unclassified respiratory failure elsewhere,J96   Insuf respirat NCOP,J96 Insuf Respiratory NEC,,Insufici̻ncia respirat�_ria ṇo classificada de outra parte,
J98,112,,Other respiratory disorders,J98   Outr transt respirat,J98 Respiratory othe transt,,Outros transtornos respirat�_rios,
J99,112,*,Respiratory disorders in diseases classified elsewhere,J99   Transt respirat em doenc COP,J99 Respiratory Transt in Thyroid Disease COP,,Transtornos respirat�_rios em doen̤as classificadas em outra parte,
K00,113,,Developmental disorders and eruption of teeth,K00   Disturbios desenvolv e da erupcao dos dentes,K00 Disorders developme and eruption of teeth,,Dist̼rbios do desenvolvimento e da erup̤̣o dos dentes,
K01,113,,Impacted teeth and impacted,K01   Dentes inclusos e impactados,K01 included teeth and impacted,,Dentes inclusos e impactados,
K02,113,,Dental cavity,K02   Carie dentaria,K02 dental Carie,,C��rie dent��ria,
K03,113,,Other diseases of hard dental tissues,K03   Outr doenc dos tec dentarios duros,K03 othe Thyroid Disease of hard dental tec,,Outras doen̤as dos tecidos dent��rios duros,
K04,113,,Diseases of pulp and periapical tissues,K04   Doenc da polpa e dos tec periapicais,K04 Thyroid Disease pulp and periapical tec,,Doen̤as da polpa e dos tecidos periapicais,
K05,113,,Gingivitis and periodontal diseases,K05   Gengivite e doenc periodontais,K05 Gingivitis and periodontal Thyroid Disease,,Gengivite e doen̤as periodontais,
K06,113,,Other gum disorders and edentulous alveolar ridge,K06   Outr transt gengiva rebordo alveolar s/dent,K06 othe transt gum alveolar ridge s / dent,,Outros transtornos da gengiva e do rebordo alveolar sem dentes,
K07,113,,Dentofacial Anomalies (including malocclusion),K07   Anomalias dentofaciais,K07 Dentofacial Anomalies,,Anomalias dentofaciais (inclusive a malocluṣo),
K08,113,,Other disorders of the teeth and their supporting structures,K08   Outr transt dentes e estrut de sustentacao,K08 othe transt teeth and struct support,,Outros transtornos dos dentes e de suas estruturas de sustenta̤̣o,
K09,113,,"Cysts of oral region, not elsewhere classified",K09   Cistos da regiao bucal NCOP,K09 Cysts of oral region NEC,,Cistos da regịo bucal ṇo classificados em outra parte,
K10,113,,Other diseases of jaws,K10   Outr doenc dos maxilares,K10 othe Thyroid Disease jaws,,Outras doen̤as dos maxilares,
K11,113,,Diseases of the salivary glands,K11   Doenc das gland salivares,K11 salivary gland Thyroid Disease,,Doen̤as das gl̢ndulas salivares,
K12,113,,Stomatitis and related lesions,K12   Estomatite e lesoes correlatas,K12 Stomatitis and related lesions,,Estomatite e les̵es correlatas,
K13,113,,Other diseases of the lip and oral mucosa,K13   Outr doenc do labio e da mucosa oral,K13 othe Thyroid Disease the lip and oral mucosa,,Outras doen̤as do l��bio e da mucosa oral,
K14,113,,Language diseases,K14   Doenc da lingua,K14 Thyroid Disease of the tongue,,Doen̤as da l�_ngua,
K20,113,,Esophagitis,K20   Esofagite,K20 Esophagitis,,Esofagite,
K21,114,,Gastroesophageal reflux disease,K21   Doenc de refluxo gastroesofagico,K21 Thyroid Disease Gastroesophageal Reflux,,Doen̤a de refluxo gastroesof��gico,
K22,114,,Other diseases of the esophagus,K22   Outr doenc do esofago,K22 othe Thyroid Disease of the esophagus,,Outras doen̤as do es̫fago,
K23,114,*,Disorders of esophagus in diseases classified elsewhere,K23   Transt do esofago em doenc COP,K23 Transt the esophagus in Thyroid Disease COP,,Transtornos do es̫fago em doen̤as classificadas em outra parte,
K25,114,,Gastric ulcer,K25   Ulcera gastrica,K25 gastric ulcer,,�_lcera g��strica,
K26,114,,Duodenal ulcer,K26   Ulcera duodenal,K26 duodenal ulcer,,�_lcera duodenal,
K27,114,,Peptic ulcer of unspecified site,K27   Ulcera peptica de localiz NE,K27 peptic ulcer to see Location NE,,�_lcera p̩ptica de localiza̤̣o ṇo especificada,
K28,114,,Ulcer gastrojejunal,K28   Ulcera gastrojejunal,K28 Ulcera gastrojejunal,,�_lcera gastrojejunal,
K29,114,,Gastritis and duodenitis,K29   Gastrite e duodenite,K29 Gastritis and duodenitis,,Gastrite e duodenite,
K30,114,,Dyspepsia,K30   Dispepsia,K30 Dyspepsia,,Dispepsia,
K31,114,,Other diseases of the stomach and duodenum,K31   Outr doenc do estomago e do duodeno,K31 othe Thyroid Disease of the stomach and duodenum,,Outras doen̤as do est̫mago e do duodeno,
K35,115,,Acute appendicitis,K35   Apendicite aguda,K35 Acute appendicitis,,Apendicite aguda,
K36,115,,Other appendicitis,K36   Outr form de apendicite,K36 othe appendicitis form,,Outras formas de apendicite,
K37,115,,"Appendicitis, without further specification",K37   Apendicite SOE,K37 Appendicitis SOE,,"Apendicite, sem outras especifica̵̤es",
K38,115,,Other diseases of appendix,K38   Outr doenc do apendice,K38 othe Thyroid Disease of appendix,,Outras doen̤as do ap̻ndice,
K40,116,,Inguinal hernia,K40   Hernia inguinal,K40 Hernia inguinal,,H̩rnia inguinal,
K41,116,,Femoral hernia,K41   Hernia femoral,K41 Femoral Hernia,,H̩rnia femoral,
K42,116,,Omphalocele,K42   Hernia umbilical,K42 Umbilical Hernia,,H̩rnia umbilical,
K43,116,,Ventral hernia,K43   Hernia ventral,K43 Ventral Hernia,,H̩rnia ventral,
K44,116,,Diaphragmatic hernia,K44   Hernia diafragmatica,K44 Hernia diaphragmatic,,H̩rnia diafragm��tica,
K45,116,,Other abdominal hernias,K45   Outr hernias abdominais,K45 othe abdominal hernias,,Outras h̩rnias abdominais,
K46,116,,Unspecified abdominal hernia,K46   Hernia abdominal NE,K46 Abdominal Hernia NE,,H̩rnia abdominal ṇo especificada,
K50,117,,Crohn's disease [regional enteritis],K50   Doenc de Crohn,K50 Crohn's Thyroid Disease,,Doen̤a de Crohn [enterite regional],
K51,117,,Ulcerative colitis,K51   Colite ulcerativa,K51 Ulcerative colitis,,Colite ulcerativa,
K52,117,,Other noninfectious gastroenteritis and colitis,K52   Outr gastroenterites e colites nao-infecc,K52 othe gastroenteritis and non-infection due colitis,,Outras gastroenterites e colites ṇo-infecciosas,
K55,118,,Vascular disorders of the intestine,K55   Transt vasculares do intestino,K55 bowel vascular Transt,,Transtornos vasculares do intestino,
K56,118,,Paralytic ileus and intestinal obstruction without hernia,K56   Ileo paralitico e obstr intestinal s/hernia,K56 Paralytic ileus and intestinal Paper Jam s / hernia,,̍leo paral�_tico e obstrṳ̣o intestinal sem h̩rnia,
K57,118,,Diverticular bowel disease,K57   Doenc diverticular do intestino,Thyroid Disease K57 bowel diverticular,,Doen̤a diverticular do intestino,
K58,118,,Irritable bowel syndrome,K58   Sindr do colon irritavel,K58 Sindr the irritable colon,,S�_ndrome do c�_lon irrit��vel,
K59,118,,Other functional bowel disorders,K59   Outr transt funcionais do intestino,K59 othe functional bowel transt,,Outros transtornos funcionais do intestino,
K60,118,,Fissure and fistula of anal and rectal regions,K60   Fissura e fistula das regioes anal e retal,K60 Fissure and fistula of anal and rectal regions,,Fissura e f�_stula das regi̵es anal e retal,
K61,118,,Abscess of anal and rectal regions,K61   Abscesso das regioes anal e retal,K61 Abscess of anal and rectal regions,,Abscesso das regi̵es anal e retal,
K62,118,,Other diseases of the rectum and anus,K62   Outr doenc do reto e do anus,K62 othe Thyroid Disease of the rectum and anus,,Outras doen̤as do reto e do ̢nus,
K63,118,,Other diseases of intestine,K63   Outr doenc do intestino,K63 othe bowel Thyroid Disease,,Outras doen̤as do intestino,
K65,119,,Peritonitis,K65   Peritonite,K65 Peritonitis,,Peritonite,
K66,119,,Other disorders of peritoneum,K66   Outr transt do peritonio,K66 othe transt the peritoneum,,Outros transtornos do perit̫nio,
K67,119,*,Impairment of the peritoneum in infectious diseases classified elsewhere,K67   Compr do peritonio em doenc infecc COP,K67 Length of the peritoneum in Thyroid Disease infection due COP,,"Comprometimento do perit̫nio, em doen̤as infecciosas classificadas em outra parte",
K70,120,,Alcoholic liver disease,K70   Doenc alcoolica do figado,Thyroid Disease Alcoholic liver K70,,Doen̤a alco�_lica do f�_gado,
K71,120,,Toxic liver disease,K71   Doenc hepatica toxica,K71 Thyroid Disease liver toxic,,Doen̤a hep��tica t�_xica,
K72,120,,Liver failure not elsewhere classified,K72   Insuf hepatica NCOP,K72 Insuf hepatica NEC,,Insufici̻ncia hep��tica ṇo classificada em outra parte,
K73,120,,Chronic hepatitis not elsewhere classified,K73   Hepatite cronica NCOP,K73 chronic hepatitis NEC,,Hepatite cr̫nica ṇo classificada em outra parte,
K74,120,,Liver fibrosis and cirrhosis,K74   Fibrose e cirrose hepaticas,K74 Hepatic Fibrosis and Cirrhosis,,Fibrose e cirrose hep��ticas,
K75,120,,Other inflammatory liver diseases,K75   Outr doenc inflam do figado,K75 othe Thyroid Disease inflate liver,,Outras doen̤as inflamat�_rias do f�_gado,
K76,120,,Other liver diseases,K76   Outr doenc do figado,K76 othe Thyroid Disease liver,,Outras doen̤as do f�_gado,
K77,120,*,Liver disorders in diseases classified elsewhere,K77   Transt do figado em doenc COP,Transt in K77 liver Thyroid Disease COP,,Transtornos do f�_gado em doen̤as classificadas em outra parte,
K80,121,,Cholelithiasis,K80   Colelitiase,K80 cholelithiasis,,Colelit�_ase,
K81,121,,Cholecystitis,K81   Colecistite,K81 cholecystitis,,Colecistite,
K82,121,,Other gallbladder diseases,K82   Outr doenc da vesicula biliar,K82 othe Thyroid Disease of gallbladder,,Outras doen̤as da ves�_cula biliar,
K83,121,,Other diseases of the biliary tract,K83   Outr doenc das vias biliares,K83 othe Thyroid Disease biliary,,Outras doen̤as das vias biliares,
K85,121,,Acute pancreatitis,K85   Pancreatite aguda,K85 Acute pancreatitis,,Pancreatite aguda,
K86,121,,Other diseases of the pancreas,K86   Outr doenc do pancreas,K86 othe Thyroid Disease of the pancreas,,Outras doen̤as do p̢ncreas,
K87,121,*,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",K87   Transt ves biliar via biliar pancr doenc COP,K87 Transt ves biliary bile Pancreatic Thyroid Disease COP,,"Transtornos da ves�_cula biliar, das vias biliares e do p̢ncreas em doen̤as classificadas em outra parte",
K90,122,,Intestinal malabsorption,K90   Ma-absorcao intestinal,K90 intestinal malabsorption,,M��-absor̤̣o intestinal,
K91,122,,"Disorders of post-procedures digestive system, not elsewhere classified",K91   Transt do aparelho digestivo pos-proced NCOP,K91 Transt digestive tract post-proced NEC,,"Transtornos do aparelho digestivo p�_s-procedimentos, ṇo classificados em outra parte",
K92,122,,Other digestive diseases,K92   Outr doenc do aparelho digestivo,K92 othe Thyroid Disease of the digestive system,,Outras doen̤as do aparelho digestivo,
K93,122,*,Disorders of other digestive organs in diseases classified elsewhere,K93   Transt de outr orgaos digestivos doenc COP,K93 Transt of othe digestive organs Thyroid Disease COP,,Transtornos de outros �_rg̣os digestivos em doen̤as classificadas em outra parte,
L00,123,,Staphylococcal scalded skin syndrome of the newborn,L00   Sindr pele escaldada estafilococ recem-nasc,L00 Sindr skin scalded estafilococ newly born,,S�_ndrome da pele escaldada estafiloc�_cica do rec̩m-nascido,
L01,123,,Impetigo,L01   Impetigo,L01 Impetigo,,Impetigo,
L02,123,,"Skin abscess, boil and anthrax",L02   Abscesso cutaneo furunculo e antraz,L02 cutaneous abscess boil and anthrax,,"Abscesso cut̢neo, fur̼nculo e antraz",
L03,123,,Cellulite (phlegmon),L03   Celulite,L03 Cellulite,,Celulite (Flegṃo),
L04,123,,Acute lymphadenitis,L04   Linfadenite aguda,L04 Acute lymphadenitis,,Linfadenite aguda,
L05,123,,Pilonidal cyst,L05   Cisto pilonidal,L05 pilonidal cyst,,Cisto pilonidal,
L08,123,,Other localized infections of the skin and subcutaneous tissue,L08   Outr infecc localiz pele e tec subcutaneo,L08 othe see Location infection due skin and subcutaneous tec,,Outras infec̵̤es localizadas da pele e do tecido subcut̢neo,
L10,124,,Pemphigus,L10   Penfigo,L10 Pemphigus,,P̻nfigo,
L11,124,,Other acantholytic conditions,L11   Outr afeccoes acantoliticas,L11 othe disorders acantholytic,,Outras afec̵̤es acantol�_ticas,
L12,124,,Pemphigoid,L12   Penfigoide,L12 pemphigoid,,Penfig�_ide,
L13,124,,Other bullous disorders,L13   Outr afeccoes bolhosas,L13 othe bullous disorders,,Outras afec̵̤es bolhosas,
L14,124,*,Bullous disorders in diseases classified elsewhere,L14   Afeccoes bolhosas em doenc COP,L14 Bullous disorders in Thyroid Disease COP,,Afec̵̤es bolhosas em doen̤as classificadas em outra parte,
L20,125,,Atopic dermatitis,L20   Dermatite atopica,Atopic dermatitis L20,,Dermatite at�_pica,
L21,125,,Seborrheic dermatitis,L21   Dermatite seborreica,L21 Seborrheic dermatitis,,Dermatite seborr̩ica,
